year,stateabbr,statename,cityname,obesitypercentage,Population2010,latitude,longitude
2014,ID,Idaho,Boise City,23.8,5604,43.59,-116.18
2014,ID,Idaho,Boise City,28.3,5382,43.6,-116.24
2014,ID,Idaho,Boise City,27.6,979,43.61,-116.34
2014,ID,Idaho,Boise City,29,5746,43.61,-116.26
2014,ID,Idaho,Boise City,27.2,6328,43.67,-116.26
2014,ID,Idaho,Boise City,29.1,3897,43.62,-116.21
2014,ID,Idaho,Boise City,22.1,3158,43.58,-116.16
2014,ID,Idaho,Boise City,26,6391,43.62,-116.26
2014,ID,Idaho,Boise City,26.6,8245,43.65,-116.32
2014,ID,Idaho,Boise City,28.1,5278,43.63,-116.30
2014,ID,Idaho,Boise City,23.3,5397,43.58,-116.18
2014,ID,Idaho,Boise City,23.8,2830,43.63,-116.18
2014,ID,Idaho,Boise City,23.1,3112,43.59,-116.15
2014,ID,Idaho,Boise City,26.3,9313,43.62,-116.32
2014,ID,Idaho,Boise City,26.2,3494,43.59,-116.22
2014,ID,Idaho,Boise City,23.4,11733,43.65,-116.35
2014,ID,Idaho,Boise City,28.7,5936,43.64,-116.23
2014,ID,Idaho,Boise City,24.1,88,43.55,-116.22
2014,ID,Idaho,Boise City,23.6,1416,43.58,-116.13
2014,ID,Idaho,Boise City,22.1,4686,43.61,-116.18
2014,ID,Idaho,Boise City,27.5,5715,43.58,-116.22
2014,ID,Idaho,Boise City,25.5,3484,43.63,-116.27
2014,ID,Idaho,Boise City,25.8,205671,43.6,-116.23
2014,ID,Idaho,Boise City,25.2,5269,43.64,-116.30
2014,ID,Idaho,Boise City,22.5,5181,43.66,-116.22
2014,ID,Idaho,Boise City,26.2,4485,43.58,-116.24
2014,ID,Idaho,Boise City,26.4,7852,43.62,-116.28
2014,ID,Idaho,Boise City,23.1,6400,43.56,-116.14
2014,ID,Idaho,Boise City,26.6,4167,43.58,-116.20
2014,ID,Idaho,Boise City,25.8,446,43.64,-116.36
2014,ID,Idaho,Boise City,26.3,5997,43.61,-116.23
2014,ID,Idaho,Boise City,25.1,1742,43.68,-116.28
2014,ID,Idaho,Boise City,24.5,4354,43.57,-116.16
2014,ID,Idaho,Boise City,24.4,5446,43.63,-116.20
