state,totalpopulation_census_2010,population_est_2014
AL,4779736,4841799
AK,710231,736283
AZ,6392017,6730413
AR,2915918,2967392
CA,37253956,38596972
CO,5029196,5350101
CT,3574097,3594524
DE,897934,932487
DC,601723,662328
FL,18801310,19845911
GA,9687653,10067278
HI,1360301,1414538
ID,1567582,1631112
IL,12830632,12884493
IN,6483802,6593644
IA,3046355,3109350
KS,2853118,2900475
KY,4339367,4414349
LA,4533372,4644013
ME,1328361,1330513
MD,5773552,5957283
MA,6547629,6762596
MI,9883640,9929848
MN,5303925,5451079
MS,2967297,2990468
MO,5988927,6056202
MT,989415,1021869
NE,1826341,1879321
NV,2700551,2817628
NH,1316470,1333341
NJ,8791894,8864525
NM,2059179,2089568
NY,19378102,19651049
NC,9535483,9932887
ND,672591,737401
OH,11536504,11602700
OK,3751351,3878187
OR,3831074,3963244
PA,12702379,12788313
RI,1052567,1055936
SC,4625364,4823617
SD,814180,849129
TN,6346105,6541223
TX,25145561,26964333
UT,2763885,2936879
VT,625741,625214
VA,8001024,8310993
WA,6724540,7054655
WV,1852994,1849489
WI,5686986,5751525
WY,563626,582531
PR,3725789,3534874
